model,display_name,category,mean_score,std_score,min_score,max_score,q1_score,q3_score,count,Publication date,Training compute (FLOP),MATH level 5,Organization
claude-3-7-sonnet-20250219,Claude 3.7 Sonnet,business_and_financial_operations,56.33056831228473,35.512531036692835,0.0,105.0,35.83333333333333,82.6875,67,2025-02-24,3.35e+25,0.6818353474320241,Anthropic
claude-3-7-sonnet-20250219,Claude 3.7 Sonnet,computer_and_mathematical,46.42838864220612,40.746794053247505,0.0,100.0,0.0,87.0,33,2025-02-24,3.35e+25,0.6818353474320241,Anthropic
claude-3-7-sonnet-20250219,Claude 3.7 Sonnet,management,65.98782312925171,35.07920085814217,0.0,105.0,55.429863945578234,92.25,43,2025-02-24,3.35e+25,0.6818353474320241,Anthropic
gpt-4o,GPT-4o,business_and_financial_operations,41.43313432835821,34.823044538584334,0.0,100.0,0.0,72.0,67,2024-05-13,3.810001e+25,0.5327605740181269,OpenAI
gpt-4o,GPT-4o,computer_and_mathematical,38.57163582449297,37.350470290136606,0.0,100.0,0.0,67.43,33,2024-05-13,3.810001e+25,0.5327605740181269,OpenAI
gpt-4o,GPT-4o,management,53.783931339977855,34.35589570874632,0.0,100.0,30.976190476190474,83.25,43,2024-05-13,3.810001e+25,0.5327605740181269,OpenAI
deepseek-chat,DeepSeek Chat,business_and_financial_operations,47.87697856869499,34.53754171067599,0.0,108.0,18.333333333333332,75.83500000000001,67,2024-12-24,3.4078e+24,0.6485083081570997,DeepSeek
deepseek-chat,DeepSeek Chat,computer_and_mathematical,43.743565102717355,37.529473654770676,0.0,93.0,0.0,83.33,33,2024-12-24,3.4078e+24,0.6485083081570997,DeepSeek
deepseek-chat,DeepSeek Chat,management,54.40724094288878,35.12237264851574,0.0,99.99,26.45,83.16499999999999,43,2024-12-24,3.4078e+24,0.6485083081570997,DeepSeek
gemini-1.5-flash,Gemini 1.5 Flash,business_and_financial_operations,39.444676616915416,34.75275801403955,0.0,109.0,0.0,68.5,67,2024-02-15,1.580001e+25,0.6186744712990937,Google DeepMind
gemini-1.5-flash,Gemini 1.5 Flash,computer_and_mathematical,33.893643412715576,35.65155664116738,0.0,100.0,0.0,65.0,33,2024-02-15,1.580001e+25,0.6186744712990937,Google DeepMind
gemini-1.5-flash,Gemini 1.5 Flash,management,39.331268786584396,30.74809455061193,0.0,99.99,6.25,59.16499999999999,43,2024-02-15,1.580001e+25,0.6186744712990937,Google DeepMind
gemini-2.0-flash,Gemini 2.0 Flash,business_and_financial_operations,43.62660543436663,35.47431065925771,0.0,105.0,0.0,72.66499999999999,67,2025-02-05,2.43e+25,0.8216578549848943,Google DeepMind
gemini-2.0-flash,Gemini 2.0 Flash,computer_and_mathematical,35.14059183241002,37.75240525068385,0.0,100.0,0.0,69.46,33,2025-02-05,2.43e+25,0.8216578549848943,Google DeepMind
