,0
0,5643.0
1,5644.0
2,5645.0
3,9230.0
4,9231.0
5,5648.0
6,5649.0
7,5650.0
8,5651.0
9,9234.0
10,5653.0
11,5654.0
12,5655.0
13,9236.0
14,5657.0
15,9240.0
16,9237.0
17,9243.0
18,5656.0
19,9238.0
20,18491.0
21,18492.0
22,18493.0
23,18494.0
24,21062.0
25,19044.0
26,21182.0
27,1634.0
28,1636.0
29,19045.0
30,19046.0
31,19047.0
32,19048.0
33,1639.0
34,19050.0
35,19051.0
36,19052.0
37,19053.0
38,19061.0
39,3773.0
40,3774.0
41,3775.0
42,3776.0
43,3777.0
44,3778.0
45,3779.0
46,3780.0
47,3781.0
48,3782.0
49,3783.0
50,12993.0
51,3785.0
52,13001.0
53,3787.0
54,3788.0
55,13005.0
56,3790.0
57,12999.0
58,13008.0
59,13010.0
60,5646.0
61,5647.0
62,20238.0
63,20239.0
64,12994.0
65,12996.0
66,9232.0
67,9233.0
68,9235.0
69,20877.0
70,7617.0
71,7618.0
72,7619.0
73,7620.0
74,7621.0
75,7623.0
76,7624.0
77,7625.0
78,7626.0
79,7627.0
80,7628.0
