,0
0,15468.0
1,1.0
2,2.0
3,3.0
4,5.0
5,6.0
6,7.0
7,8.0
8,9.0
9,10.0
10,11.0
11,15470.0
12,14.0
13,15.0
14,22.0
15,23.0
16,30.0
17,18463.0
18,32.0
19,18464.0
20,34.0
21,35.0
22,36.0
23,37.0
24,38.0
25,39.0
26,40.0
27,41.0
28,33.0
29,43.0
30,44.0
31,46.0
32,47.0
33,48.0
34,49.0
35,50.0
36,51.0
37,52.0
38,53.0
39,54.0
40,55.0
41,56.0
42,57.0
43,58.0
44,59.0
45,61.0
46,62.0
47,63.0
48,15796.0
49,18587.0
50,18588.0
51,18593.0
52,18594.0
53,18595.0
54,18596.0
55,15474.0
56,18599.0
57,18600.0
58,15503.0
59,7214.0
60,15509.0
61,20699.0
62,20700.0
63,20702.0
64,20703.0
65,20704.0
66,20705.0
67,20706.0
68,15513.0
69,20709.0
70,15514.0
71,20842.0
72,18830.0
73,18832.0
74,18833.0
75,18834.0
76,18835.0
77,18837.0
78,18838.0
79,18839.0
80,18840.0
81,18842.0
82,18843.0
83,18844.0
84,18845.0
85,18846.0
86,18848.0
87,18849.0
88,15556.0
89,15557.0
90,15559.0
91,20942.0
92,15560.0
93,20944.0
94,20943.0
95,20945.0
96,20947.0
97,15561.0
98,20946.0
99,17600.0
100,17602.0
101,17603.0
102,15813.0
103,17604.0
104,17605.0
105,17606.0
106,17608.0
107,17609.0
108,17610.0
109,17611.0
110,17612.0
111,17613.0
112,17614.0
113,21039.0
114,21040.0
115,21041.0
116,21042.0
117,17617.0
118,21087.0
119,21088.0
120,21089.0
121,21090.0
122,21091.0
123,8823.0
124,8824.0
125,8825.0
126,8826.0
127,8827.0
128,8829.0
129,8830.0
130,8831.0
131,8832.0
132,8833.0
133,8834.0
134,8835.0
135,8836.0
136,8837.0
137,8839.0
138,8843.0
139,8846.0
140,8848.0
141,8856.0
142,8858.0
143,8859.0
144,8860.0
145,8861.0
146,8863.0
147,8864.0
148,8865.0
149,8866.0
150,8867.0
151,8868.0
152,8869.0
153,8870.0
154,8871.0
155,8872.0
156,21162.0
157,15606.0
158,15607.0
159,15615.0
160,15619.0
161,21311.0
162,21312.0
163,21313.0
164,21316.0
165,21319.0
166,21340.0
167,21341.0
168,15198.0
169,21343.0
170,21344.0
171,21345.0
172,21346.0
173,21347.0
174,21348.0
175,21349.0
176,21350.0
177,21351.0
178,15199.0
179,21353.0
180,21354.0
181,21355.0
182,21356.0
183,21357.0
184,21358.0
185,21359.0
186,21360.0
187,21361.0
188,21362.0
189,21363.0
190,21364.0
191,21365.0
192,21342.0
193,21370.0
194,21371.0
195,21372.0
196,21373.0
197,21374.0
198,21375.0
199,21376.0
200,21377.0
201,21378.0
202,21379.0
203,21381.0
204,21382.0
205,21383.0
206,21384.0
207,21385.0
208,21386.0
209,21387.0
210,21388.0
211,933.0
212,950.0
213,951.0
214,954.0
215,955.0
216,956.0
217,957.0
218,958.0
219,960.0
220,961.0
221,963.0
222,967.0
223,968.0
224,969.0
225,970.0
226,971.0
227,972.0
228,973.0
229,974.0
230,975.0
231,976.0
232,977.0
233,978.0
234,979.0
235,980.0
236,981.0
237,982.0
238,983.0
239,984.0
240,985.0
241,986.0
242,987.0
243,988.0
244,989.0
245,990.0
246,991.0
247,992.0
248,993.0
249,994.0
250,995.0
251,996.0
252,997.0
253,998.0
254,999.0
255,1002.0
256,1003.0
257,1004.0
258,1005.0
259,1008.0
260,1009.0
261,1010.0
262,1011.0
263,1012.0
264,1013.0
265,1014.0
266,1015.0
267,1017.0
268,1020.0
269,1021.0
270,1022.0
271,1023.0
272,1024.0
273,1026.0
274,1027.0
275,1028.0
276,1029.0
277,1030.0
278,15367.0
279,15368.0
280,1031.0
281,15370.0
282,15371.0
283,15372.0
284,15373.0
285,15374.0
286,15375.0
287,15376.0
288,15377.0
289,15378.0
290,15379.0
291,15380.0
292,15381.0
293,15382.0
294,15383.0
295,15384.0
296,7185.0
297,7188.0
298,7195.0
299,7190.0
300,7196.0
301,7197.0
302,7191.0
303,7192.0
304,7194.0
305,7203.0
306,1060.0
307,7205.0
308,7204.0
309,7207.0
310,7208.0
311,7206.0
312,7210.0
313,7211.0
314,7212.0
315,15405.0
316,15406.0
317,15407.0
318,1070.0
319,15409.0
320,15410.0
321,1071.0
322,7215.0
323,7218.0
324,15414.0
325,15415.0
326,15416.0
327,15417.0
328,1078.0
329,15419.0
330,15420.0
331,15421.0
332,1085.0
333,1083.0
334,19520.0
335,15425.0
336,15426.0
337,15427.0
338,15428.0
339,19522.0
340,19523.0
341,19525.0
342,19527.0
343,1032.0
344,15434.0
345,5195.0
346,5196.0
347,1096.0
348,1033.0
349,5198.0
350,5199.0
351,5201.0
352,5202.0
353,5200.0
354,15442.0
355,1034.0
356,19540.0
357,19541.0
358,15447.0
359,19542.0
360,15449.0
361,15450.0
362,19543.0
363,19546.0
364,15453.0
365,5207.0
366,5208.0
367,5215.0
368,5213.0
369,5210.0
370,15459.0
371,15460.0
372,5221.0
373,5222.0
374,5223.0
375,5224.0
376,5219.0
377,5226.0
378,5220.0
379,5228.0
380,1131.0
381,15471.0
382,15472.0
383,5232.0
384,5234.0
