,0
0,15873.0
1,21506.0
2,15877.0
3,15879.0
4,15880.0
5,21511.0
6,21520.0
7,21521.0
8,15893.0
9,19999.0
10,20000.0
11,15984.0
12,21549.0
13,21550.0
14,21553.0
15,21045.0
16,21563.0
17,18940.0
18,21571.0
19,15941.0
20,15948.0
21,10829.0
22,7246.0
23,80.0
24,10833.0
25,7249.0
26,7251.0
27,7250.0
28,10837.0
29,10835.0
30,15959.0
31,15956.0
32,15961.0
33,15963.0
34,15965.0
35,15966.0
36,102.0
37,19559.0
38,15973.0
39,106.0
40,15979.0
41,7276.0
42,7277.0
43,15981.0
44,15976.0
45,7280.0
46,15977.0
47,7282.0
48,7284.0
49,7285.0
50,15986.0
51,15987.0
52,15985.0
53,10875.0
54,18051.0
55,18052.0
56,7319.0
57,7328.0
58,16037.0
59,16038.0
60,21163.0
61,16044.0
62,16050.0
63,1213.0
64,1218.0
65,1223.0
66,8915.0
67,8919.0
68,20186.0
69,8937.0
70,8939.0
71,8940.0
72,8942.0
73,8947.0
74,3358.0
75,3364.0
76,16179.0
77,16182.0
78,5433.0
79,5434.0
80,5436.0
81,5437.0
82,5438.0
83,5439.0
84,5444.0
85,3398.0
86,3400.0
87,15703.0
88,15710.0
89,20321.0
90,20322.0
91,15717.0
92,20326.0
93,20329.0
94,15725.0
95,15729.0
96,15734.0
97,18853.0
98,18858.0
99,21418.0
100,21419.0
101,18863.0
102,21423.0
103,21427.0
104,21429.0
105,18866.0
106,21449.0
107,18891.0
108,18899.0
109,18908.0
110,18911.0
111,18912.0
112,18920.0
113,18925.0
114,18932.0
115,15861.0
116,15975.0
117,15865.0
118,15866.0
